Designator,Mid X,Mid Y,Rotation,Layer
LED1,174.195000,-110.995000,0.000000,Top
LED2,184.595000,-110.995000,0.000000,Top
LED3,194.995000,-110.995000,0.000000,Top
R1,127.485000,-110.515000,0.000000,Top
R2,131.935000,-110.515000,0.000000,Top
R3,136.385000,-110.515000,0.000000,Top
R4,146.965000,-110.515000,0.000000,Top
R5,151.415000,-110.515000,0.000000,Top
R6,155.865000,-110.515000,0.000000,Top
R7,168.995000,-110.515000,0.000000,Top
R8,179.395000,-110.515000,0.000000,Top
R9,189.795000,-110.515000,0.000000,Top
R10,214.000000,-110.500000,0.000000,Top
R11,214.000000,-119.000000,0.000000,Top
SW1,84.000000,-46.000000,0.000000,Top
SW2,96.000000,-46.000000,0.000000,Top
SW3,108.000000,-46.000000,0.000000,Top
SW4,120.000000,-46.000000,0.000000,Top
SW5,132.000000,-46.000000,0.000000,Top
SW6,144.000000,-46.000000,0.000000,Top
SW7,156.000000,-46.000000,0.000000,Top
SW8,168.000000,-46.000000,0.000000,Top
SW9,180.000000,-46.000000,0.000000,Top
SW10,192.000000,-46.000000,0.000000,Top
SW11,204.000000,-46.000000,0.000000,Top
SW12,216.000000,-46.000000,0.000000,Top
SW13,84.000000,-58.000000,0.000000,Top
SW14,96.000000,-58.000000,0.000000,Top
SW15,108.000000,-58.000000,0.000000,Top
SW16,120.000000,-58.000000,0.000000,Top
SW17,132.000000,-58.000000,0.000000,Top
SW18,144.000000,-58.000000,0.000000,Top
SW19,156.000000,-58.000000,0.000000,Top
SW20,168.000000,-58.000000,0.000000,Top
SW21,180.000000,-58.000000,0.000000,Top
SW22,192.000000,-58.000000,0.000000,Top
SW23,204.000000,-58.000000,0.000000,Top
SW24,84.000000,-70.000000,0.000000,Top
SW25,96.000000,-70.000000,0.000000,Top
SW26,108.000000,-70.000000,0.000000,Top
SW27,120.000000,-70.000000,0.000000,Top
SW28,132.000000,-70.000000,0.000000,Top
SW29,144.000000,-70.000000,0.000000,Top
SW30,156.000000,-70.000000,0.000000,Top
SW31,168.000000,-70.000000,0.000000,Top
SW32,180.000000,-70.000000,0.000000,Top
SW33,192.000000,-70.000000,0.000000,Top
SW34,204.000000,-70.000000,0.000000,Top
SW35,84.000000,-82.000000,0.000000,Top
SW36,96.000000,-82.000000,0.000000,Top
SW37,108.000000,-82.000000,0.000000,Top
SW38,120.000000,-82.000000,0.000000,Top
SW39,132.000000,-82.000000,0.000000,Top
SW40,144.000000,-82.000000,0.000000,Top
SW41,156.000000,-82.000000,0.000000,Top
SW42,168.000000,-82.000000,0.000000,Top
SW43,180.000000,-82.000000,0.000000,Top
SW44,192.000000,-82.000000,0.000000,Top
SW45,204.000000,-82.000000,0.000000,Top
SW46,84.000000,-94.000000,0.000000,Top
SW47,96.000000,-94.000000,0.000000,Top
SW48,132.000000,-94.000000,0.000000,Top
SW49,168.000000,-94.000000,0.000000,Top
SW50,180.000000,-94.000000,0.000000,Top
SW51,192.000000,-94.000000,0.000000,Top
SW52,204.000000,-94.000000,0.000000,Top
SW53,216.000000,-94.000000,0.000000,Top
U1,89.195000,-115.195000,0.000000,Top
